event,episode,reward,weight,best_value,total_weight,total_value,capacity,message
message,,,,,,,,--- Training Start ---
episode,186,39.0,30,49,,,,
episode,187,29.0,30,49,,,,
episode,188,49.0,30,49,,,,
episode,189,39.0,30,49,,,,
episode,190,37.0,30,49,,,,
episode,191,41.0,30,49,,,,
episode,192,49.0,30,49,,,,
episode,193,35.0,30,49,,,,
episode,194,49.0,30,49,,,,
episode,195,49.0,30,49,,,,
episode,196,36.0,30,49,,,,
episode,197,41.0,30,49,,,,
episode,198,49.0,30,49,,,,
episode,199,37.0,30,49,,,,
episode,200,37.0,30,49,,,,
episode,201,15.0,30,49,,,,
episode,202,39.0,30,49,,,,
episode,203,31.0,30,49,,,,
episode,204,39.0,30,49,,,,
episode,205,34.0,30,49,,,,
episode,206,39.0,30,49,,,,
episode,207,49.0,30,49,,,,
episode,208,49.0,30,49,,,,
episode,209,35.0,30,49,,,,
episode,210,37.0,30,49,,,,
episode,211,33.0,30,49,,,,
episode,212,49.0,30,49,,,,
episode,213,42.0,30,49,,,,
episode,214,39.0,30,49,,,,
episode,215,39.0,30,49,,,,
episode,216,33.0,30,49,,,,
episode,217,42.0,30,49,,,,
episode,218,49.0,30,49,,,,
episode,219,35.0,30,49,,,,
episode,220,28.0,30,49,,,,
episode,221,45.0,30,49,,,,
episode,222,49.0,30,49,,,,
episode,223,23.0,30,49,,,,
episode,224,45.0,30,49,,,,
episode,225,42.0,30,49,,,,
episode,226,49.0,30,49,,,,
episode,227,27.0,30,49,,,,
episode,228,49.0,30,49,,,,
episode,229,17.0,30,49,,,,
episode,230,49.0,30,49,,,,
episode,231,49.0,30,49,,,,
episode,232,49.0,30,49,,,,
episode,233,23.0,30,49,,,,
episode,234,27.0,30,49,,,,
episode,235,49.0,30,49,,,,
episode,236,49.0,30,49,,,,
episode,237,39.0,30,49,,,,
episode,238,37.0,30,49,,,,
episode,239,41.0,30,49,,,,
episode,240,27.0,30,49,,,,
episode,241,49.0,30,49,,,,
episode,242,45.0,30,49,,,,
episode,243,41.0,30,49,,,,
episode,244,49.0,30,49,,,,
episode,245,49.0,30,49,,,,
episode,246,49.0,30,49,,,,
episode,247,37.0,30,49,,,,
episode,248,23.0,30,49,,,,
episode,249,49.0,30,49,,,,
episode,250,31.0,30,49,,,,
episode,251,49.0,30,49,,,,
episode,252,49.0,30,49,,,,
episode,253,41.0,30,49,,,,
episode,254,39.0,30,49,,,,
episode,255,49.0,30,49,,,,
episode,256,49.0,30,49,,,,
episode,257,49.0,30,49,,,,
episode,258,41.0,30,49,,,,
episode,259,49.0,30,49,,,,
episode,260,49.0,30,49,,,,
episode,261,39.0,30,49,,,,
episode,262,35.0,30,49,,,,
episode,263,49.0,30,49,,,,
episode,264,49.0,30,49,,,,
episode,265,41.0,30,49,,,,
episode,266,27.0,30,49,,,,
episode,267,41.0,30,49,,,,
episode,268,3.0,30,49,,,,
episode,269,41.0,30,49,,,,
episode,270,49.0,30,49,,,,
episode,271,39.0,30,49,,,,
episode,272,41.0,30,49,,,,
episode,273,45.0,30,49,,,,
episode,274,41.0,30,49,,,,
episode,275,17.0,30,49,,,,
episode,276,49.0,30,49,,,,
episode,277,49.0,30,49,,,,
episode,278,49.0,30,49,,,,
episode,279,40.0,30,49,,,,
episode,280,49.0,30,49,,,,
episode,281,49.0,30,49,,,,
episode,282,39.0,30,49,,,,
episode,283,39.0,30,49,,,,
episode,284,34.0,30,49,,,,
episode,285,39.0,30,49,,,,
episode,286,31.0,30,49,,,,
episode,287,49.0,30,49,,,,
episode,288,37.0,30,49,,,,
episode,289,37.0,30,49,,,,
episode,290,49.0,30,49,,,,
episode,291,49.0,30,49,,,,
episode,292,49.0,30,49,,,,
episode,293,49.0,30,49,,,,
episode,294,49.0,30,49,,,,
episode,295,27.0,30,49,,,,
episode,296,49.0,30,49,,,,
episode,297,34.0,30,49,,,,
episode,298,49.0,30,49,,,,
episode,299,34.0,30,49,,,,
episode,300,49.0,30,49,,,,
episode,301,49.0,30,49,,,,
episode,302,49.0,30,49,,,,
episode,303,49.0,30,49,,,,
episode,304,42.0,30,49,,,,
episode,305,37.0,30,49,,,,
episode,306,49.0,30,49,,,,
episode,307,35.0,30,49,,,,
episode,308,27.0,30,49,,,,
episode,309,49.0,30,49,,,,
episode,310,45.0,30,49,,,,
episode,311,37.0,30,49,,,,
episode,312,49.0,30,49,,,,
episode,313,41.0,30,49,,,,
episode,314,45.0,30,49,,,,
episode,315,37.0,30,49,,,,
episode,316,49.0,30,49,,,,
episode,317,41.0,30,49,,,,
episode,318,37.0,30,49,,,,
episode,319,33.0,30,49,,,,
episode,320,49.0,30,49,,,,
episode,321,34.0,30,49,,,,
episode,322,41.0,30,49,,,,
episode,323,49.0,30,49,,,,
episode,324,39.0,30,49,,,,
episode,325,41.0,30,49,,,,
episode,326,37.0,30,49,,,,
episode,327,39.0,30,49,,,,
episode,328,41.0,30,49,,,,
episode,329,39.0,30,49,,,,
episode,330,49.0,30,49,,,,
episode,331,39.0,30,49,,,,
episode,332,39.0,30,49,,,,
episode,333,49.0,30,49,,,,
episode,334,49.0,30,49,,,,
episode,335,49.0,30,49,,,,
episode,336,33.0,30,49,,,,
episode,337,33.0,30,49,,,,
episode,338,49.0,30,49,,,,
episode,339,39.0,30,49,,,,
episode,340,33.0,30,49,,,,
episode,341,36.0,30,49,,,,
episode,342,27.0,30,49,,,,
episode,343,49.0,30,49,,,,
episode,344,25.0,30,49,,,,
episode,345,49.0,30,49,,,,
episode,346,49.0,30,49,,,,
episode,347,27.0,30,49,,,,
episode,348,49.0,30,49,,,,
episode,349,49.0,30,49,,,,
episode,350,49.0,30,49,,,,
episode,351,31.0,30,49,,,,
episode,352,42.0,30,49,,,,
episode,353,25.0,30,49,,,,
episode,354,40.0,30,49,,,,
episode,355,49.0,30,49,,,,
episode,356,35.0,30,49,,,,
episode,357,33.0,30,49,,,,
episode,358,13.0,30,49,,,,
episode,359,49.0,30,49,,,,
episode,360,49.0,30,49,,,,
episode,361,21.0,30,49,,,,
episode,362,37.0,30,49,,,,
episode,363,39.0,30,49,,,,
episode,364,49.0,30,49,,,,
episode,365,49.0,30,49,,,,
